sample,fastq_1,fastq_2,antibody,control
E20.24_H3K4Me1_ChIPSeq_1_REP1,results/basic_chip/fastq/E20.24_H3K4Me1_ChIPSeq_1.fastq.gz,,E20.24_H3K4Me1,E20.24_INPUT_REP1
E20.24_H3K27Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E20.24_H3K27Me3_ChIPSeq_1.fastq.gz,,E20.24_H3K27Me3,E20.24_INPUT_REP1
E20.24_H3K27Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E20.24_H3K27Ac_ChIPSeq_1.fastq.gz,,E20.24_H3K27Ac,E20.24_INPUT_REP1
E16.20_H3K9Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K9Me3_ChIPSeq_1.fastq.gz,,E16.20_H3K9Me3,E16.20_INPUT_REP1
E16.20_H3K9Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K9Ac_ChIPSeq_1.fastq.gz,,E16.20_H3K9Ac,E16.20_INPUT_REP1
E16.20_H3K4Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K4Me3_ChIPSeq_1.fastq.gz,,E16.20_H3K4Me3,E16.20_INPUT_REP1
E16.20_H3K4Me1_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K4Me1_ChIPSeq_1.fastq.gz,,E16.20_H3K4Me1,E16.20_INPUT_REP1
E16.20_H3K27Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K27Me3_ChIPSeq_1.fastq.gz,,E16.20_H3K27Me3,E16.20_INPUT_REP1
E16.20_H3K27Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E16.20_H3K27Ac_ChIPSeq_1.fastq.gz,,E16.20_H3K27Ac,E16.20_INPUT_REP1
E12.16_H3K9Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K9Me3_ChIPSeq_1.fastq.gz,,E12.16_H3K9Me3,E12.16_INPUT_REP1
E12.16_H3K9Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K9Ac_ChIPSeq_1.fastq.gz,,E12.16_H3K9Ac,E12.16_INPUT_REP1
E12.16_H3K4Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K4Me3_ChIPSeq_1.fastq.gz,,E12.16_H3K4Me3,E12.16_INPUT_REP1
E12.16_H3K4Me1_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K4Me1_ChIPSeq_1.fastq.gz,,E12.16_H3K4Me1,E12.16_INPUT_REP1
E12.16_H3K27Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K27Me3_ChIPSeq_1.fastq.gz,,E12.16_H3K27Me3,E12.16_INPUT_REP1
E12.16_H3K27Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E12.16_H3K27Ac_ChIPSeq_1.fastq.gz,,E12.16_H3K27Ac,E12.16_INPUT_REP1
E0.4_H3K9Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K9Me3_ChIPSeq_1.fastq.gz,,E0.4_H3K9Me3,E0.4_INPUT_REP1
E0.4_H3K9Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K9Ac_ChIPSeq_1.fastq.gz,,E0.4_H3K9Ac,E0.4_INPUT_REP1
