sample_name,life_stage_age,simple_biosample_summary,target,input
CG1602_ENCSR386BKJ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG1602-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG1602,CG1602,input_ENCSR772QGN_rep1
CG8765_ENCSR387WYA_rep1,embryonic 0-8 hours,embryo (0-8 hours) strain CG8765-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8765,CG8765,input_ENCSR549JSG_rep1
CG8765_ENCSR387WYA_rep2,embryonic 0-8 hours,embryo (0-8 hours) strain CG8765-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8765,CG8765,input_ENCSR549JSG_rep1
Jarid2_ENCSR388YUZ_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Jarid2-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Jarid2,Jarid2,input_ENCSR089YGV_rep1
Jarid2_ENCSR388YUZ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Jarid2-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Jarid2,Jarid2,input_ENCSR089YGV_rep1
Jarid2_ENCSR388YUZ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Jarid2-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Jarid2,Jarid2,input_ENCSR089YGV_rep1
sima_ENCSR390QUD_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain sima-RB-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster sima,sima,input_ENCSR802IDG_rep1
sima_ENCSR390QUD_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain sima-RB-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster sima,sima,input_ENCSR802IDG_rep1
hb_ENCSR391EHB_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain hb-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster hb,hb,input_ENCSR232HHC_rep1
hb_ENCSR391EHB_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain hb-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster hb,hb,input_ENCSR232HHC_rep1
hb_ENCSR391EHB_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain hb-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster hb,hb,input_ENCSR232HHC_rep1
lbe_ENCSR392ANZ_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain lbe-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster lbe,lbe,input_ENCSR294UCJ_rep1
lbe_ENCSR392ANZ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain lbe-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster lbe,lbe,input_ENCSR294UCJ_rep1
run_ENCSR392IEL_rep1,embryonic 0-16 hours,embryo (0-16 hours) strain run VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster run,run,input_ENCSR421OFW_rep1
run_ENCSR392IEL_rep2,embryonic 0-16 hours,embryo (0-16 hours) strain run VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster run,run,input_ENCSR421OFW_rep1
run_ENCSR392IEL_rep3,embryonic 0-16 hours,embryo (0-16 hours) strain run VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster run,run,input_ENCSR421OFW_rep1
Myb_ENCSR393AKW_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Myb-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Myb,Myb,input_ENCSR626UBE_rep1
Myb_ENCSR393AKW_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Myb-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Myb,Myb,input_ENCSR626UBE_rep1
BtbVII_ENCSR393QBI_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain BtbVII-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster BtbVII,BtbVII,input_ENCSR036PHI_rep1
BtbVII_ENCSR393QBI_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain BtbVII-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster BtbVII,BtbVII,input_ENCSR036PHI_rep1
BtbVII_ENCSR393QBI_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain BtbVII-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster BtbVII,BtbVII,input_ENCSR036PHI_rep1
CG10267_ENCSR393VQP_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Zif,CG10267,input_ENCSR873HOL_rep1
CG10267_ENCSR393VQP_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Zif,CG10267,input_ENCSR873HOL_rep1
CG10267_ENCSR393VQP_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Zif,CG10267,input_ENCSR873HOL_rep1
YL-1_ENCSR396LMJ_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain YL-1-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster YL-1,YL-1,input_ENCSR317QFT_rep1
YL-1_ENCSR396LMJ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain YL-1-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster YL-1,YL-1,input_ENCSR317QFT_rep1
YL-1_ENCSR396LMJ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain YL-1-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster YL-1,YL-1,input_ENCSR317QFT_rep1
net_ENCSR399DAW_rep1,NA,mixed sex prepupa strain net-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster net,net,input_ENCSR996PHG_rep1
net_ENCSR399DAW_rep3,NA,mixed sex prepupa strain net-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster net,net,input_ENCSR996PHG_rep1
net_ENCSR399DAW_rep4,NA,mixed sex prepupa strain net-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster net,net,input_ENCSR996PHG_rep1
